hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grove Hill Memorial Hospital,8/1/2024,2.0.0,Grove Hill Memorial Hospital,"295 South Jackson Street, Grove Hill, AL 36451",63-0436871 | AL,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code | 1,code |1| type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,,modifiers,standard_charge|[BCBS]|[Alabama] |negotiated_dollar,standard_charge|[Medicare]|[Alabama] |negotiated_dollar,standard_charge|[Aetna]|[Alabama] | negotiated_dollar,standard_charge|[Cigna]|[Alabama] |negotiated_dollar,standard_charge|[Humana]|[Alabama] |negotiated_dollar,standard_charge|[Medicaid]|[Alabama] |negotiated_dollar,standard_charge|[BCBS]|[Alabama]|negotiated_percentage,standard_charge|[Medicare]|[Alabama]|negotiated_percentage,standard_charge|[Aetna]|[Alabama]|negotiated_percentage,standard_charge|[Cigna]|[Alabama]|negotiated_percentage,standard_charge|[Humana]|[Alabama]|negotiated_percentage,standard_charge|[Medicaid]|[Alabama]|negotiated_percentage,standard_charge|[BCBS]|[Alabama]|negotiated_algorithm,standard_charge|[Medicare]|[Alabama]|negotiated_algorithm,standard_charge|[Aetna]|[Alabama]|negotiated_algorithm,standard_charge|[Cigna]|[Alabama]|negotiated_algorithm,standard_charge|[Humana]|[Alabama]|negotiated_algorithm,standard_charge|[Medicaid]|[Alabama]|negotiated_algorithm,standard_charge|min,standard_charge|max,standard_charge|[BCBS] |[Alabama] |methodology,standard_charge|[Medicare] |[Alabama] |methodology,standard_charge|[Aetna] |[Alabama] |methodology,standard_charge|[Cigna] |[Alabama] |methodology,standard_charge|[Humana] |[Alabama] |methodology,standard_charge|[Medicaid] |[Alabama] |methodology,estimated_amount|[BCBS]|[Alabama],estimated_amount|[Medicare]|[Alabama],estimated_amount|[Aetna]|[Alabama],estimated_amount|[Cigna]|[Alabama],estimated_amount|[Humana]|[Alabama],estimated_amount|[Medicaid]|[Alabama],additional_generic_notes,additional_payer_notes|[BCBS]|[Alabama],additional_payer_notes|[Medicare]|[Alabama],additional_payer_notes|[Aetna]|[Alabama],additional_payer_notes|[Cigna]|[Alabama],additional_payer_notes|[Humana]|[Alabama],additional_payer_notes|[Medicaid]|[Alabama]
PATHOLOGY LEVEL 5,88307,CPT,Both,,,289,173,,,57.8,57.8,57.8,57.8,57.8,57.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,57.8,217,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,57.8,57.8,57.8,57.8,57.8,57.8,N/A,,,,,,
PATHOLOGY LEVEL 2,88302,CPT,Both,,,168,101,,,33.6,33.6,33.6,33.6,33.6,33.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,33.6,126,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,33.6,33.6,33.6,33.6,33.6,33.6,N/A,,,,,,
PERIPHEAL BLOOD SMEAR,85060,CPT,Both,,,51,31,,,10.2,10.2,10.2,10.2,10.2,10.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,10.2,38,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,10.2,10.2,10.2,10.2,10.2,10.2,N/A,,,,,,
PH 24 HR URINE,83986,CPT,Both,,,66,40,,,13.2,13.2,13.2,13.2,13.2,13.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13.2,50,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13.2,13.2,13.2,13.2,13.2,13.2,N/A,,,,,,
PHENOBARBITAL LEVEL,80184,CPT,Both,,,128,77,,,25.6,25.6,25.6,25.6,25.6,25.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,25.6,96,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,25.6,25.6,25.6,25.6,25.6,25.6,N/A,,,,,,
PHOSPHORUS,84100,CPT,Both,,,53,32,,,10.6,10.6,10.6,10.6,10.6,10.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,10.6,40,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,10.6,10.6,10.6,10.6,10.6,10.6,N/A,,,,,,
PKU PHENYLALANINE,84030,CPT,Both,,,149,89,,,29.8,29.8,29.8,29.8,29.8,29.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,29.8,112,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,29.8,29.8,29.8,29.8,29.8,29.8,N/A,,,,,,
CANCER ANTIGEN (CA)15-3,86300,CPT,Both,,,217,130,,,43.4,43.4,43.4,43.4,43.4,43.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,43.4,163,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,43.4,43.4,43.4,43.4,43.4,43.4,N/A,,,,,,
PNEUMOCYSTIS,88312,CPT,Both,,,221,133,,,44.2,44.2,44.2,44.2,44.2,44.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,44.2,166,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,44.2,44.2,44.2,44.2,44.2,44.2,N/A,,,,,,
POTASSIUM,84132,CPT,Both,,,53,32,,,10.6,10.6,10.6,10.6,10.6,10.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,10.6,40,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,10.6,10.6,10.6,10.6,10.6,10.6,N/A,,,,,,
POTASSIUM 24 HOUR URIN,84133,CPT,Both,,,65,39,,,13,13,13,13,13,13,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13,49,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13,13,13,13,13,13,N/A,,,,,,
PREG TEST SERIUM,84703,CPT,Both,,,77,46,,,15.4,15.4,15.4,15.4,15.4,15.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,15.4,58,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,15.4,15.4,15.4,15.4,15.4,15.4,N/A,,,,,,
PREG TEST URINE,81025,CPT,Both,,,63,38,,,12.6,12.6,12.6,12.6,12.6,12.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,12.6,47,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,12.6,12.6,12.6,12.6,12.6,12.6,N/A,,,,,,
PROGESTERONE SERUM,84144,CPT,Both,,,120,72,,,24,24,24,24,24,24,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24,90,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24,24,24,24,24,24,N/A,,,,,,
PROLACTIN,84146,CPT,Both,,,127,76,,,25.4,25.4,25.4,25.4,25.4,25.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,25.4,95,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,25.4,25.4,25.4,25.4,25.4,25.4,N/A,,,,,,
"PROTEIN C, FUNCTIONAL",85303,CPT,Both,,,164,98,,,32.8,32.8,32.8,32.8,32.8,32.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,32.8,123,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,32.8,32.8,32.8,32.8,32.8,32.8,N/A,,,,,,
PROTEIN C ANTIGEN,85302,CPT,Both,,,220,132,,,44,44,44,44,44,44,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,44,165,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,44,44,44,44,44,44,N/A,,,,,,
PROTEIN ELECTROPHORESI,84165,CPT,Both,,,113,68,,,22.6,22.6,22.6,22.6,22.6,22.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.6,85,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.6,22.6,22.6,22.6,22.6,22.6,N/A,,,,,,
PROTEIN S,85305,CPT,Both,,,131,79,,,26.2,26.2,26.2,26.2,26.2,26.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.2,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.2,26.2,26.2,26.2,26.2,26.2,N/A,,,,,,
PROTEIN TOTAL SERUM,84155,CPT,Both,,,77,46,,,15.4,15.4,15.4,15.4,15.4,15.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,15.4,58,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,15.4,15.4,15.4,15.4,15.4,15.4,N/A,,,,,,
PROTIME,85610,CPT,Both,,,95,57,,,19,19,19,19,19,19,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,19,71,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,19,19,19,19,19,19,N/A,,,,,,
PSA DIAGNOSTIC NOT SCR,84153,CPT,Both,,,167,100,,,33.4,33.4,33.4,33.4,33.4,33.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,33.4,125,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,33.4,33.4,33.4,33.4,33.4,33.4,N/A,,,,,,
PTT,85730,CPT,Both,,,77,46,,,15.4,15.4,15.4,15.4,15.4,15.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,15.4,58,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,15.4,15.4,15.4,15.4,15.4,15.4,N/A,,,,,,
RAPID STREP A,87430,CPT,Both,,,80,48,,,16,16,16,16,16,16,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,16,60,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,16,16,16,16,16,16,N/A,,,,,,
RENAL FUNCTION PANEL,80069,CPT,Both,,,251,151,,,50.2,50.2,50.2,50.2,50.2,50.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,50.2,188,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,50.2,50.2,50.2,50.2,50.2,50.2,N/A,,,,,,
"RENIN,PLASMA",84244,CPT,Both,,,128,77,,,25.6,25.6,25.6,25.6,25.6,25.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,25.6,96,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,25.6,25.6,25.6,25.6,25.6,25.6,N/A,,,,,,
RETICULOCYTE CT,85045,CPT,Both,,,128,77,,,25.6,25.6,25.6,25.6,25.6,25.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,25.6,96,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,25.6,25.6,25.6,25.6,25.6,25.6,N/A,,,,,,
RHEUMATOID ARTHRITIS (,86431,CPT,Both,,,100,60,,,20,20,20,20,20,20,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20,75,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,20,20,20,20,20,20,N/A,,,,,,
ROCKY MOUNTAIN SPOTTED,86757,CPT,Both,,,209,125,,,41.8,41.8,41.8,41.8,41.8,41.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,41.8,157,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,41.8,41.8,41.8,41.8,41.8,41.8,N/A,,,,,,
ROTAVIRUS,87425,CPT,Both,,,136,82,,,27.2,27.2,27.2,27.2,27.2,27.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,27.2,102,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,27.2,27.2,27.2,27.2,27.2,27.2,N/A,,,,,,
RPR,86592,CPT,Both,,,113,68,,,22.6,22.6,22.6,22.6,22.6,22.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.6,85,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.6,22.6,22.6,22.6,22.6,22.6,N/A,,,,,,
RSV,86756,CPT,Both,,,111,67,,,22.2,22.2,22.2,22.2,22.2,22.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.2,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.2,22.2,22.2,22.2,22.2,22.2,N/A,,,,,,
RUBELLA  ANTIBODIES,86762,CPT,Both,,,63,38,,,12.6,12.6,12.6,12.6,12.6,12.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,12.6,47,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,12.6,12.6,12.6,12.6,12.6,12.6,N/A,,,,,,
RUBEOLA  ANTIBODIES,86765,CPT,Both,,,136,82,,,27.2,27.2,27.2,27.2,27.2,27.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,27.2,102,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,27.2,27.2,27.2,27.2,27.2,27.2,N/A,,,,,,
SALICYLATE LEVEL,80329,CPT,Both,,,167,100,,,33.4,33.4,33.4,33.4,33.4,33.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,33.4,125,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,33.4,33.4,33.4,33.4,33.4,33.4,N/A,,,,,,
GASTROCULT,82271,CPT,Both,,,50,30,,,10,10,10,10,10,10,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,10,38,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,10,10,10,10,10,10,N/A,,,,,,
SED RATE,85652,CPT,Both,,,63,38,,,12.6,12.6,12.6,12.6,12.6,12.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,12.6,47,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,12.6,12.6,12.6,12.6,12.6,12.6,N/A,,,,,,
SEMEN POST VAS,89321,CPT,Outpatient,,,44,26,,,8.8,8.8,8.8,8.8,8.8,8.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,8.8,33,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,8.8,8.8,8.8,8.8,8.8,8.8,N/A,,,,,,
ESTRADIOL,82670,CPT,Both,,,318,191,,,63.6,63.6,63.6,63.6,63.6,63.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,63.6,239,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,63.6,63.6,63.6,63.6,63.6,63.6,N/A,,,,,,
SERUM OSMOLALITY,83930,CPT,Both,,,73,44,,,14.6,14.6,14.6,14.6,14.6,14.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,14.6,55,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,14.6,14.6,14.6,14.6,14.6,14.6,N/A,,,,,,
SEX HORMONE-BINDING GL,84270,CPT,Both,,,226,136,,,45.2,45.2,45.2,45.2,45.2,45.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,45.2,170,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,45.2,45.2,45.2,45.2,45.2,45.2,N/A,,,,,,
SGOT (AST),84450,CPT,Both,,,66,40,,,13.2,13.2,13.2,13.2,13.2,13.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13.2,50,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13.2,13.2,13.2,13.2,13.2,13.2,N/A,,,,,,
SGPT (ALT),84460,CPT,Both,,,66,40,,,13.2,13.2,13.2,13.2,13.2,13.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13.2,50,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13.2,13.2,13.2,13.2,13.2,13.2,N/A,,,,,,
SICKLE CELL SCREEN,85660,CPT,Both,,,70,42,,,14,14,14,14,14,14,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,14,53,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,14,14,14,14,14,14,N/A,,,,,,
SODIUM,84295,CPT,Both,,,51,31,,,10.2,10.2,10.2,10.2,10.2,10.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,10.2,38,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,10.2,10.2,10.2,10.2,10.2,10.2,N/A,,,,,,
"SODIUM, RANDOM URINE",84300,CPT,Both,,,69,41,,,13.8,13.8,13.8,13.8,13.8,13.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13.8,52,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13.8,13.8,13.8,13.8,13.8,13.8,N/A,,,,,,
CEA,82378,CPT,Both,,,196,118,,,39.2,39.2,39.2,39.2,39.2,39.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,39.2,147,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,39.2,39.2,39.2,39.2,39.2,39.2,N/A,,,,,,
STOOL CULTURE,87045,CPT,Both,,,111,67,,,22.2,22.2,22.2,22.2,22.2,22.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.2,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.2,22.2,22.2,22.2,22.2,22.2,N/A,,,,,,
T3 FREE,84481,CPT,Both,,,99,59,,,19.8,19.8,19.8,19.8,19.8,19.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,19.8,74,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,19.8,19.8,19.8,19.8,19.8,19.8,N/A,,,,,,
T3 TOTAL,84480,CPT,Both,,,113,68,,,22.6,22.6,22.6,22.6,22.6,22.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.6,85,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.6,22.6,22.6,22.6,22.6,22.6,N/A,,,,,,
T3 UPTAKE,84479,CPT,Both,,,73,44,,,14.6,14.6,14.6,14.6,14.6,14.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,14.6,55,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,14.6,14.6,14.6,14.6,14.6,14.6,N/A,,,,,,
TEGRETOL,80156,CPT,Both,,,91,55,,,18.2,18.2,18.2,18.2,18.2,18.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,18.2,68,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,18.2,18.2,18.2,18.2,18.2,18.2,N/A,,,,,,
TESTOSTERONE FREE DI,84402,CPT,Both,,,284,170,,,56.8,56.8,56.8,56.8,56.8,56.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,56.8,213,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,56.8,56.8,56.8,56.8,56.8,56.8,N/A,,,,,,
TESTOSTERONE,84403,CPT,Both,,,111,67,,,22.2,22.2,22.2,22.2,22.2,22.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.2,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.2,22.2,22.2,22.2,22.2,22.2,N/A,,,,,,
THEOPHYLLINE LEVEL,80198,CPT,Both,,,127,76,,,25.4,25.4,25.4,25.4,25.4,25.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,25.4,95,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,25.4,25.4,25.4,25.4,25.4,25.4,N/A,,,,,,
THERAPEUTIC PHLEBOTOMY,99195,CPT,Both,,,120,72,,,24,24,24,24,24,24,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24,90,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24,24,24,24,24,24,N/A,,,,,,
THIAMINE LEVELS,84425,CPT,Both,,,121,73,,,24.2,24.2,24.2,24.2,24.2,24.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24.2,91,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24.2,24.2,24.2,24.2,24.2,24.2,N/A,,,,,,
THYROXINE T4,84436,CPT,Both,,,98,59,,,19.6,19.6,19.6,19.6,19.6,19.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,19.6,74,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,19.6,19.6,19.6,19.6,19.6,19.6,N/A,,,,,,
TOPIRAMATE LEVEL,80201,CPT,Both,,,152,91,,,30.4,30.4,30.4,30.4,30.4,30.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30.4,114,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30.4,30.4,30.4,30.4,30.4,30.4,N/A,,,,,,
TOXOPLASMA ANTIBODY IG,86777,CPT,Both,,,111,67,,,22.2,22.2,22.2,22.2,22.2,22.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.2,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.2,22.2,22.2,22.2,22.2,22.2,N/A,,,,,,
TOXOPLASMA GONDII AB I,86778,CPT,Both,,,196,118,,,39.2,39.2,39.2,39.2,39.2,39.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,39.2,147,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,39.2,39.2,39.2,39.2,39.2,39.2,N/A,,,,,,
TRANSFERRIN,84466,CPT,Both,,,92,55,,,18.4,18.4,18.4,18.4,18.4,18.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,18.4,69,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,18.4,18.4,18.4,18.4,18.4,18.4,N/A,,,,,,
TRIGLYCERIDES,84478,CPT,Both,,,51,31,,,10.2,10.2,10.2,10.2,10.2,10.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,10.2,38,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,10.2,10.2,10.2,10.2,10.2,10.2,N/A,,,,,,
