hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|CA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",general_contract_provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Martin Community Hospital,1/9/2025,1.0.0,Lake Martin Community Hospital,"201 Mariarden Rd, Dadeville, AL 36853",H6202,TRUE,"When total claim charges exceed $200,000.00 for a Platform Health Insurance plan, the entire claim will be reimbursed at 50% of charges. This amount will supersede any other contracted rate that would otherwise apply. When total claim charges exceed $250,000.00 for a Region Health Insurance plan, the entire claim will be reimbursed at 45% of charges. This amount will supersede any other contracted rate that would otherwise apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,standard_charge|MEDICARE|negotiated_dollar,standard_charge|MEDICARE|negotiated_percentage,standard_charge|MEDICARE|negotiated_algorithm,estimated_amount|MEDICARE|,standard_charge|MEDICARE|methodology,additional_payer_notes|MEDICARE|,standard_charge|TRICARE|ALL PLANS|negotiated_dollar,standard_charge|TRICARE|ALL PLANS|negotiated_percentage,standard_charge|TRICARE|ALL PLANS|negotiated_algorithm,estimated_amount|TRICARE|ALL PLANS,standard_charge|TRICARE|ALL PLANS|methodology,additional_payer_notes|TRICARE|ALL PLANS,standard_charge|MEDICAID|negotiated_dollar,standard_charge|MEDICAID|negotiated_percentage,standard_charge|MEDICAID|negotiated_algorithm,estimated_amount|MEDICAID|,standard_charge|MEDICAID|methodology,additional_payer_notes|MEDICAID|,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_dollar,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_percentage,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_algorithm,estimated_amount|VIVA MEDICARE ALL PLANS|,standard_charge|VIVA MEDICARE ALL PLANS|methodology,additional_payer_notes|VIVA MEDICARE ALL PLANS|,standard_charge|HUMANA ALL PLANS|negotiated_dollar,standard_charge|HUMANA ALL PLANS|negotiated_percentage,standard_charge|HUMANA ALL PLANS|negotiated_algorithm,estimated_amount|HUMANA ALL PLANS|,standard_charge|HUMANA ALL PLANS|methodology,additional_payer_notes|HUMANA ALL PLANS|,standard_charge|min,standard_charge|max,additional_generic_notes
TSH RECEPTOR ANTIBODY (AEL),83520,CPT,,,,BOTH,,,46,23,17.27,,,,FEE SCHEDULE,,15.54,,,,FEE SCHEDULE,,24.87,,,,FEE SCHEDULE,,17.27,,,,FEE SCHEDULE,,,85,,39.1,PERCENTAGE OF TOTAL BILLED CHARGES,,15.54,24.87,
INSULIN (AEL),83525,CPT,,,,BOTH,,,29,14.5,11.43,,,,FEE SCHEDULE,,10.29,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,11.43,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.29,14.5,
CHL INSULIN,83525,CPT,,,,BOTH,,,29,14.5,11.43,,,,FEE SCHEDULE,,10.29,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,11.43,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.29,14.5,
PREMIER INSULIN,83525,CPT,,,,BOTH,,,29,14.5,11.43,,,,FEE SCHEDULE,,10.29,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,11.43,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.29,14.5,
INSULIN LC/MS/MS (B CHAIN) (AEL),83525,CPT,,,,BOTH,,,29,14.5,11.43,,,,FEE SCHEDULE,,10.29,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,11.43,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.29,14.5,
INSULIN RESPONSE 5 SPEC (ADULT)(AEL),83525,CPT,,,,BOTH,,,66,33,11.43,,,,FEE SCHEDULE,,10.29,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,11.43,,,,FEE SCHEDULE,,,85,,56.1,PERCENTAGE OF TOTAL BILLED CHARGES,,10.29,33,
INSULIN RESPONSE 4 SPEC (ADULT) (AEL),83525,CPT,,,,BOTH,,,29,14.5,11.43,,,,FEE SCHEDULE,,10.29,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,11.43,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.29,14.5,
INSULIN FREE (AEL),83527,CPT,,,,BOTH,,,33,16.5,12.95,,,,FEE SCHEDULE,,11.66,,,,FEE SCHEDULE,,21.42,,,,FEE SCHEDULE,,12.95,,,,FEE SCHEDULE,,,85,,28.05,PERCENTAGE OF TOTAL BILLED CHARGES,,11.66,21.42,
IRON,83540,CPT,,,,BOTH,,,30,15,6.47,,,,FEE SCHEDULE,,5.82,,,,FEE SCHEDULE,,10.2,,,,FEE SCHEDULE,,6.47,,,,FEE SCHEDULE,,,85,,25.5,PERCENTAGE OF TOTAL BILLED CHARGES,,5.82,15,
KETOSTEROIDS 17,83586,CPT,,,,BOTH,,,67,33.5,12.8,,,,FEE SCHEDULE,,11.52,,,,FEE SCHEDULE,,17.61,,,,FEE SCHEDULE,,12.8,,,,FEE SCHEDULE,,,85,,56.95,PERCENTAGE OF TOTAL BILLED CHARGES,,11.52,33.5,
LACTATE/SEPSIS (ER/IP)(4 HR REFLEX),83605,CPT,,,,BOTH,,,29,14.5,11.57,,,,FEE SCHEDULE,,10.41,,,,FEE SCHEDULE,,14.8,,,,FEE SCHEDULE,,11.57,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.41,14.8,
LACTIC ACID (OUTPATIENT),83605,CPT,,,,BOTH,,,29,14.5,11.57,,,,FEE SCHEDULE,,10.41,,,,FEE SCHEDULE,,14.8,,,,FEE SCHEDULE,,11.57,,,,FEE SCHEDULE,,,85,,24.65,PERCENTAGE OF TOTAL BILLED CHARGES,,10.41,14.8,
LDH,83615,CPT,,,,BOTH,,,16,8,6.04,,,,FEE SCHEDULE,,5.44,,,,FEE SCHEDULE,,8.87,,,,FEE SCHEDULE,,6.04,,,,FEE SCHEDULE,,,85,,13.6,PERCENTAGE OF TOTAL BILLED CHARGES,,5.44,8.87,
LD SYNOVIAL FLUID (AEL),83615,CPT,,,,BOTH,,,16,8,6.04,,,,FEE SCHEDULE,,5.44,,,,FEE SCHEDULE,,8.87,,,,FEE SCHEDULE,,6.04,,,,FEE SCHEDULE,,,85,,13.6,PERCENTAGE OF TOTAL BILLED CHARGES,,5.44,8.87,
LDH  ISOENZMYES,83625,CPT,,,,BOTH,,,66,33,12.79,,,,FEE SCHEDULE,,11.51,,,,FEE SCHEDULE,,10.67,,,,FEE SCHEDULE,,12.79,,,,FEE SCHEDULE,,,85,,56.1,PERCENTAGE OF TOTAL BILLED CHARGES,,10.67,33,
LACTOFERRIN QUAL STOOL (AEL),83630,CPT,,,,BOTH,,,50,25,19.7,,,,FEE SCHEDULE,,17.73,,,,FEE SCHEDULE,,16.3,,,,FEE SCHEDULE,,19.7,,,,FEE SCHEDULE,,,85,,42.5,PERCENTAGE OF TOTAL BILLED CHARGES,,16.3,25,
LEAD (AEL),83655,CPT,,,,BOTH,,,31,15.5,12.11,,,,FEE SCHEDULE,,10.9,,,,FEE SCHEDULE,,22.2,,,,FEE SCHEDULE,,12.11,,,,FEE SCHEDULE,,,85,,26.35,PERCENTAGE OF TOTAL BILLED CHARGES,,10.9,22.2,
HEAVY METALS URINE (AEL),83655,CPT,,,,BOTH,,,31,15.5,12.11,,,,FEE SCHEDULE,,10.9,,,,FEE SCHEDULE,,22.2,,,,FEE SCHEDULE,,12.11,,,,FEE SCHEDULE,,,85,,26.35,PERCENTAGE OF TOTAL BILLED CHARGES,,10.9,22.2,
LIPASE(AEL),83690,CPT,,,,BOTH,,,18,9,6.89,,,,FEE SCHEDULE,,6.2,,,,FEE SCHEDULE,,10.67,,,,FEE SCHEDULE,,6.89,,,,FEE SCHEDULE,,,85,,15.3,PERCENTAGE OF TOTAL BILLED CHARGES,,6.2,10.67,
LIPASE,83690,CPT,,,,BOTH,,,18,9,6.89,,,,FEE SCHEDULE,,6.2,,,,FEE SCHEDULE,,10.67,,,,FEE SCHEDULE,,6.89,,,,FEE SCHEDULE,,,85,,15.3,PERCENTAGE OF TOTAL BILLED CHARGES,,6.2,10.67,
LIPOPROTEIN a (AEL),83695,CPT,,,,BOTH,,,36,18,14.32,,,,FEE SCHEDULE,,12.89,,,,FEE SCHEDULE,,19.27,,,,FEE SCHEDULE,,14.32,,,,FEE SCHEDULE,,,85,,30.6,PERCENTAGE OF TOTAL BILLED CHARGES,,12.89,19.27,
CHL Lp(a),83695,CPT,,,,BOTH,,,36,18,14.32,,,,FEE SCHEDULE,,12.89,,,,FEE SCHEDULE,,19.27,,,,FEE SCHEDULE,,14.32,,,,FEE SCHEDULE,,,85,,30.6,PERCENTAGE OF TOTAL BILLED CHARGES,,12.89,19.27,
PREMIER LIPOPROTEIN,83695,CPT,,,,BOTH,,,36,18,14.32,,,,FEE SCHEDULE,,12.89,,,,FEE SCHEDULE,,19.27,,,,FEE SCHEDULE,,14.32,,,,FEE SCHEDULE,,,85,,30.6,PERCENTAGE OF TOTAL BILLED CHARGES,,12.89,19.27,
CHL LP-PLA2,83698,CPT,,,,BOTH,,,116,58,46.31,,,,FEE SCHEDULE,,41.68,,,,FEE SCHEDULE,,48.93,,,,FEE SCHEDULE,,46.31,,,,FEE SCHEDULE,,,85,,98.6,PERCENTAGE OF TOTAL BILLED CHARGES,,41.68,58,
PREMIER LP-PLA2,83698,CPT,,,,BOTH,,,116,58,46.31,,,,FEE SCHEDULE,,41.68,,,,FEE SCHEDULE,,48.93,,,,FEE SCHEDULE,,46.31,,,,FEE SCHEDULE,,,85,,98.6,PERCENTAGE OF TOTAL BILLED CHARGES,,41.68,58,
VAP TM CHOLESTEROL,83701,CPT,,,,BOTH,,,80,40,33.86,,,,FEE SCHEDULE,,30.47,,,,FEE SCHEDULE,,35.59,,,,FEE SCHEDULE,,33.86,,,,FEE SCHEDULE,,,85,,68,PERCENTAGE OF TOTAL BILLED CHARGES,,30.47,40,
LIPOPROTEIN ELECTR,83701,CPT,,,,BOTH,,,80,40,33.86,,,,FEE SCHEDULE,,30.47,,,,FEE SCHEDULE,,35.59,,,,FEE SCHEDULE,,33.86,,,,FEE SCHEDULE,,,85,,68,PERCENTAGE OF TOTAL BILLED CHARGES,,30.47,40,
CHL sd-LDL,83701,CPT,,,,BOTH,,,85,42.5,33.86,,,,FEE SCHEDULE,,30.47,,,,FEE SCHEDULE,,35.59,,,,FEE SCHEDULE,,33.86,,,,FEE SCHEDULE,,,85,,72.25,PERCENTAGE OF TOTAL BILLED CHARGES,,30.47,42.5,
PREMIER L sd-LDL,83701,CPT,,,,BOTH,,,85,42.5,33.86,,,,FEE SCHEDULE,,30.47,,,,FEE SCHEDULE,,35.59,,,,FEE SCHEDULE,,33.86,,,,FEE SCHEDULE,,,85,,72.25,PERCENTAGE OF TOTAL BILLED CHARGES,,30.47,42.5,
HDL CHOLESTEROL,83718,CPT,,,,BOTH,,,21,10.5,8.19,,,,FEE SCHEDULE,,7.37,,,,FEE SCHEDULE,,7.38,,,,FEE SCHEDULE,,8.19,,,,FEE SCHEDULE,,,85,,17.85,PERCENTAGE OF TOTAL BILLED CHARGES,,7.37,10.5,
VLDL CHOL DIRECT,83719,CPT,,,,BOTH,,,63,31.5,12.75,,,,FEE SCHEDULE,,11.48,,,,FEE SCHEDULE,,13.2,,,,FEE SCHEDULE,,12.75,,,,FEE SCHEDULE,,,85,,53.55,PERCENTAGE OF TOTAL BILLED CHARGES,,11.48,31.5,
PREMIER VLDL,83719,CPT,,,,BOTH,,,32,16,12.75,,,,FEE SCHEDULE,,11.48,,,,FEE SCHEDULE,,13.2,,,,FEE SCHEDULE,,12.75,,,,FEE SCHEDULE,,,85,,27.2,PERCENTAGE OF TOTAL BILLED CHARGES,,11.48,16,
DIRECT LDL (AEL),83721,CPT,,,,BOTH,,,27,13.5,10.5,,,,FEE SCHEDULE,,9.45,,,,FEE SCHEDULE,,11.85,,,,FEE SCHEDULE,,10.5,,,,FEE SCHEDULE,,,85,,22.95,PERCENTAGE OF TOTAL BILLED CHARGES,,9.45,13.5,
PREMIER LDL DIRECT,83721,CPT,,,,BOTH,,,27,13.5,10.5,,,,FEE SCHEDULE,,9.45,,,,FEE SCHEDULE,,11.85,,,,FEE SCHEDULE,,10.5,,,,FEE SCHEDULE,,,85,,22.95,PERCENTAGE OF TOTAL BILLED CHARGES,,9.45,13.5,
GONADOTROPIN RELASING HORMONE,83727,CPT,,,,BOTH,,,115,57.5,17.19,,,,FEE SCHEDULE,,15.47,,,,FEE SCHEDULE,,27.17,,,,FEE SCHEDULE,,17.19,,,,FEE SCHEDULE,,,85,,97.75,PERCENTAGE OF TOTAL BILLED CHARGES,,15.47,57.5,
MAGNESIUM,83735,CPT,,,,BOTH,,,17,8.5,6.7,,,,FEE SCHEDULE,,6.03,,,,FEE SCHEDULE,,11.54,,,,FEE SCHEDULE,,6.7,,,,FEE SCHEDULE,,,85,,14.45,PERCENTAGE OF TOTAL BILLED CHARGES,,6.03,11.54,
24 HR UR MAGNESIUM W/O CREAT,83735,CPT,,,,BOTH,,,30,15,6.7,,,,FEE SCHEDULE,,6.03,,,,FEE SCHEDULE,,11.54,,,,FEE SCHEDULE,,6.7,,,,FEE SCHEDULE,,,85,,25.5,PERCENTAGE OF TOTAL BILLED CHARGES,,6.03,15,
CHL MAGNESIUM,83735,CPT,,,,BOTH,,,17,8.5,6.7,,,,FEE SCHEDULE,,6.03,,,,FEE SCHEDULE,,11.54,,,,FEE SCHEDULE,,6.7,,,,FEE SCHEDULE,,,85,,14.45,PERCENTAGE OF TOTAL BILLED CHARGES,,6.03,11.54,
PREMIER MAGNESIUM,83735,CPT,,,,BOTH,,,17,8.5,6.7,,,,FEE SCHEDULE,,6.03,,,,FEE SCHEDULE,,11.54,,,,FEE SCHEDULE,,6.7,,,,FEE SCHEDULE,,,85,,14.45,PERCENTAGE OF TOTAL BILLED CHARGES,,6.03,11.54,
24 HR UR MAGNESIUM W/O CREAT (AEL),83735,CPT,,,,BOTH,,,17,8.5,6.7,,,,FEE SCHEDULE,,6.03,,,,FEE SCHEDULE,,11.54,,,,FEE SCHEDULE,,6.7,,,,FEE SCHEDULE,,,85,,14.45,PERCENTAGE OF TOTAL BILLED CHARGES,,6.03,11.54,
BATH SALTS  BIOTAP,83789,CPT,,,,BOTH,,,75,37.5,24.11,,,,FEE SCHEDULE,,21.7,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,24.11,,,,FEE SCHEDULE,,,85,,63.75,PERCENTAGE OF TOTAL BILLED CHARGES,,21.7,37.5,
CORTISONE 24HR URINE,83789,CPT,,,,BOTH,,,75.69,37.85,24.11,,,,FEE SCHEDULE,,21.7,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,24.11,,,,FEE SCHEDULE,,,85,,64.3365,PERCENTAGE OF TOTAL BILLED CHARGES,,21.7,37.85,
CHL F2 ISOPROSTANES/CREAT RATIO,83789,CPT,,,,BOTH,,,61,30.5,24.11,,,,FEE SCHEDULE,,21.7,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,24.11,,,,FEE SCHEDULE,,,85,,51.85,PERCENTAGE OF TOTAL BILLED CHARGES,,21.7,30.5,
**10-HYDROXYCARBAZEPINE-SERUM,83789,CPT,,,,BOTH,,,95,47.5,24.11,,,,FEE SCHEDULE,,21.7,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,24.11,,,,FEE SCHEDULE,,,85,,80.75,PERCENTAGE OF TOTAL BILLED CHARGES,,21.7,47.5,
BATH SALTS  BIOTAP(AEL),83789,CPT,,,,BOTH,,,61,30.5,24.11,,,,FEE SCHEDULE,,21.7,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,24.11,,,,FEE SCHEDULE,,,85,,51.85,PERCENTAGE OF TOTAL BILLED CHARGES,,21.7,30.5,
CORTISONE SERUM (AEL),83789,CPT,,,,BOTH,,,61,30.5,24.11,,,,FEE SCHEDULE,,21.7,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,24.11,,,,FEE SCHEDULE,,,85,,51.85,PERCENTAGE OF TOTAL BILLED CHARGES,,21.7,30.5,
CORTISONE 24HR URINE(AEL),83789,CPT,,,,BOTH,,,61,30.5,24.11,,,,FEE SCHEDULE,,21.7,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,24.11,,,,FEE SCHEDULE,,,85,,51.85,PERCENTAGE OF TOTAL BILLED CHARGES,,21.7,30.5,
MERCURY (AEL),83825,CPT,,,,BOTH,,,41,20.5,16.26,,,,FEE SCHEDULE,,14.63,,,,FEE SCHEDULE,,25.92,,,,FEE SCHEDULE,,16.26,,,,FEE SCHEDULE,,,85,,34.85,PERCENTAGE OF TOTAL BILLED CHARGES,,14.63,25.92,
24 HR UR METANEPHRINES FRACTION (AEL),83835,CPT,,,,BOTH,,,43,21.5,16.94,,,,FEE SCHEDULE,,15.25,,,,FEE SCHEDULE,,28.42,,,,FEE SCHEDULE,,16.94,,,,FEE SCHEDULE,,,85,,36.55,PERCENTAGE OF TOTAL BILLED CHARGES,,15.25,28.42,
METANEPHRINES FRACT/FREE PLASMA (AEL),83835,CPT,,,,BOTH,,,43,21.5,16.94,,,,FEE SCHEDULE,,15.25,,,,FEE SCHEDULE,,28.42,,,,FEE SCHEDULE,,16.94,,,,FEE SCHEDULE,,,85,,36.55,PERCENTAGE OF TOTAL BILLED CHARGES,,15.25,28.42,
MUCIN ROPE TEST,83872,CPT,,,,BOTH,,,25.11,12.56,5.86,,,,FEE SCHEDULE,,5.27,,,,FEE SCHEDULE,,5.16,,,,FEE SCHEDULE,,5.86,,,,FEE SCHEDULE,,,85,,21.3435,PERCENTAGE OF TOTAL BILLED CHARGES,,5.16,12.56,
MYOGLOBIN SERUM (AEL),83874,CPT,,,,BOTH,,,33,16.5,12.92,,,,FEE SCHEDULE,,11.63,,,,FEE SCHEDULE,,17.46,,,,FEE SCHEDULE,,12.92,,,,FEE SCHEDULE,,,85,,28.05,PERCENTAGE OF TOTAL BILLED CHARGES,,11.63,17.46,
MYOGLOBIN URINE,83874,CPT,,,,BOTH,,,65,32.5,12.92,,,,FEE SCHEDULE,,11.63,,,,FEE SCHEDULE,,17.46,,,,FEE SCHEDULE,,12.92,,,,FEE SCHEDULE,,,85,,55.25,PERCENTAGE OF TOTAL BILLED CHARGES,,11.63,32.5,
CHL MYELOPEROXIDASE,83876,CPT,,,,BOTH,,,128,64,50.86,,,,FEE SCHEDULE,,45.77,,,,FEE SCHEDULE,,19.62,,,,FEE SCHEDULE,,50.86,,,,FEE SCHEDULE,,,85,,108.8,PERCENTAGE OF TOTAL BILLED CHARGES,,19.62,64,
PREMIER MYELOPEROXIDASE,83876,CPT,,,,BOTH,,,128,64,50.86,,,,FEE SCHEDULE,,45.77,,,,FEE SCHEDULE,,19.62,,,,FEE SCHEDULE,,50.86,,,,FEE SCHEDULE,,,85,,108.8,PERCENTAGE OF TOTAL BILLED CHARGES,,19.62,64,
B-TYPE N-PEPTIDE,83880,CPT,,,,BOTH,,,99,49.5,39.26,,,,FEE SCHEDULE,,35.33,,,,FEE SCHEDULE,,48.93,,,,FEE SCHEDULE,,39.26,,,,FEE SCHEDULE,,,85,,84.15,PERCENTAGE OF TOTAL BILLED CHARGES,,35.33,49.5,
PRO BNP N TERMINAL(AEL),83880,CPT,,,,BOTH,,,99,49.5,39.26,,,,FEE SCHEDULE,,35.33,,,,FEE SCHEDULE,,48.93,,,,FEE SCHEDULE,,39.26,,,,FEE SCHEDULE,,,85,,84.15,PERCENTAGE OF TOTAL BILLED CHARGES,,35.33,49.5,
CHL NT-proBNP,83880,CPT,,,,BOTH,,,99,49.5,39.26,,,,FEE SCHEDULE,,35.33,,,,FEE SCHEDULE,,48.93,,,,FEE SCHEDULE,,39.26,,,,FEE SCHEDULE,,,85,,84.15,PERCENTAGE OF TOTAL BILLED CHARGES,,35.33,49.5,
COMPLEMENT PROFILE,83883,CPT,,,,BOTH,,,50,25,13.6,,,,FEE SCHEDULE,,12.24,,,,FEE SCHEDULE,,26.47,,,,FEE SCHEDULE,,13.6,,,,FEE SCHEDULE,,,85,,42.5,PERCENTAGE OF TOTAL BILLED CHARGES,,12.24,26.47,
ANTI DNA SS,83883,CPT,,,,BOTH,,,247,123.5,13.6,,,,FEE SCHEDULE,,12.24,,,,FEE SCHEDULE,,26.47,,,,FEE SCHEDULE,,13.6,,,,FEE SCHEDULE,,,85,,209.95,PERCENTAGE OF TOTAL BILLED CHARGES,,12.24,123.5,
FREE KAPPA/LAMDA LT CHAINS URINE (AEL),83883,CPT,,,,BOTH,,,34,17,13.6,,,,FEE SCHEDULE,,12.24,,,,FEE SCHEDULE,,26.47,,,,FEE SCHEDULE,,13.6,,,,FEE SCHEDULE,,,85,,28.9,PERCENTAGE OF TOTAL BILLED CHARGES,,12.24,26.47,
KAPPA/LAMBDA LIGHT CHAINS (AEL),83883,CPT,,,,BOTH,,,34,17,13.6,,,,FEE SCHEDULE,,12.24,,,,FEE SCHEDULE,,26.47,,,,FEE SCHEDULE,,13.6,,,,FEE SCHEDULE,,,85,,28.9,PERCENTAGE OF TOTAL BILLED CHARGES,,12.24,26.47,
C1 ESTERASE INHIBITOR PROTEIN (AEL),83883,CPT,,,,BOTH,,,34,17,13.6,,,,FEE SCHEDULE,,12.24,,,,FEE SCHEDULE,,26.47,,,,FEE SCHEDULE,,13.6,,,,FEE SCHEDULE,,,85,,28.9,PERCENTAGE OF TOTAL BILLED CHARGES,,12.24,26.47,
COMPLEMENT PROFILE(AEL),83883,CPT,,,,BOTH,,,34,17,13.6,,,,FEE SCHEDULE,,12.24,,,,FEE SCHEDULE,,26.47,,,,FEE SCHEDULE,,13.6,,,,FEE SCHEDULE,,,85,,28.9,PERCENTAGE OF TOTAL BILLED CHARGES,,12.24,26.47,
ANTI DNA SS (AEL),83883,CPT,,,,BOTH,,,34,17,13.6,,,,FEE SCHEDULE,,12.24,,,,FEE SCHEDULE,,26.47,,,,FEE SCHEDULE,,13.6,,,,FEE SCHEDULE,,,85,,28.9,PERCENTAGE OF TOTAL BILLED CHARGES,,12.24,26.47,
"ORGANIC ACIDS, QUAN, TOTAL URINE",83918,CPT,,,,BOTH,,,85,42.5,23.6,,,,FEE SCHEDULE,,21.24,,,,FEE SCHEDULE,,16.43,,,,FEE SCHEDULE,,23.6,,,,FEE SCHEDULE,,,85,,72.25,PERCENTAGE OF TOTAL BILLED CHARGES,,16.43,42.5,
ORGANIC ACIDS URINE QUANT,83918,CPT,,,,BOTH,,,88,44,23.6,,,,FEE SCHEDULE,,21.24,,,,FEE SCHEDULE,,16.43,,,,FEE SCHEDULE,,23.6,,,,FEE SCHEDULE,,,85,,74.8,PERCENTAGE OF TOTAL BILLED CHARGES,,16.43,44,
ORGANIC ACIDS URINE QUANT,83918,CPT,,,,BOTH,,,88,44,23.6,,,,FEE SCHEDULE,,21.24,,,,FEE SCHEDULE,,16.43,,,,FEE SCHEDULE,,23.6,,,,FEE SCHEDULE,,,85,,74.8,PERCENTAGE OF TOTAL BILLED CHARGES,,16.43,44,
METHYLMALONIC ACID,83921,CPT,,,,BOTH,,,69,34.5,21.21,,,,FEE SCHEDULE,,19.09,,,,FEE SCHEDULE,,23.72,,,,FEE SCHEDULE,,21.21,,,,FEE SCHEDULE,,,85,,58.65,PERCENTAGE OF TOTAL BILLED CHARGES,,19.09,34.5,
METHYLMALONIC ACID (AEL),83921,CPT,,,,BOTH,,,54,27,21.21,,,,FEE SCHEDULE,,19.09,,,,FEE SCHEDULE,,23.72,,,,FEE SCHEDULE,,21.21,,,,FEE SCHEDULE,,,85,,45.9,PERCENTAGE OF TOTAL BILLED CHARGES,,19.09,27,
OSMOLALITY SERUM (AEL),83930,CPT,,,,BOTH,,,17,8.5,6.61,,,,FEE SCHEDULE,,5.95,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,6.61,,,,FEE SCHEDULE,,,85,,14.45,PERCENTAGE OF TOTAL BILLED CHARGES,,5.95,13.35,
URINE OSMOLALITY,83935,CPT,,,,BOTH,,,36,18,6.82,,,,FEE SCHEDULE,,6.14,,,,FEE SCHEDULE,,7.38,,,,FEE SCHEDULE,,6.82,,,,FEE SCHEDULE,,,85,,30.6,PERCENTAGE OF TOTAL BILLED CHARGES,,6.14,18,
OSMOLALITY RANDOM URINE (AEL),83935,CPT,,,,BOTH,,,18,9,6.82,,,,FEE SCHEDULE,,6.14,,,,FEE SCHEDULE,,7.38,,,,FEE SCHEDULE,,6.82,,,,FEE SCHEDULE,,,85,,15.3,PERCENTAGE OF TOTAL BILLED CHARGES,,6.14,9,
OSTEOCALCIN HUMAN,83937,CPT,,,,BOTH,,,65,32.5,29.85,,,,FEE SCHEDULE,,26.87,,,,FEE SCHEDULE,,13.56,,,,FEE SCHEDULE,,29.85,,,,FEE SCHEDULE,,,85,,55.25,PERCENTAGE OF TOTAL BILLED CHARGES,,13.56,32.5,
24 HR UR OXALIC ACID W/OUT CREAT (AEL),83945,CPT,,,,BOTH,,,37,18.5,14.45,,,,FEE SCHEDULE,,13.01,,,,FEE SCHEDULE,,14.8,,,,FEE SCHEDULE,,14.45,,,,FEE SCHEDULE,,,85,,31.45,PERCENTAGE OF TOTAL BILLED CHARGES,,13.01,18.5,
PTH INTACT (AEL),83970,CPT,,,,BOTH,,,104,52,41.28,,,,FEE SCHEDULE,,37.15,,,,FEE SCHEDULE,,80.35,,,,FEE SCHEDULE,,41.28,,,,FEE SCHEDULE,,,85,,88.4,PERCENTAGE OF TOTAL BILLED CHARGES,,37.15,80.35,
PTH INTACT WITHOUT CALCIUM(AEL),83970,CPT,,,,BOTH,,,104,52,41.28,,,,FEE SCHEDULE,,37.15,,,,FEE SCHEDULE,,80.35,,,,FEE SCHEDULE,,41.28,,,,FEE SCHEDULE,,,85,,88.4,PERCENTAGE OF TOTAL BILLED CHARGES,,37.15,80.35,
PH URINE,83986,CPT,,,,BOTH,,,9,4.5,3.58,,,,FEE SCHEDULE,,3.22,,,,FEE SCHEDULE,,2.9,,,,FEE SCHEDULE,,3.58,,,,FEE SCHEDULE,,,85,,7.65,PERCENTAGE OF TOTAL BILLED CHARGES,,2.9,4.5,
GASTROCCULT,83986,CPT,,,,BOTH,,,9,4.5,3.58,,,,FEE SCHEDULE,,3.22,,,,FEE SCHEDULE,,2.9,,,,FEE SCHEDULE,,3.58,,,,FEE SCHEDULE,,,85,,7.65,PERCENTAGE OF TOTAL BILLED CHARGES,,2.9,4.5,
PH BODY FLUID,83986,CPT,,,,BOTH,,,15,7.5,3.58,,,,FEE SCHEDULE,,3.22,,,,FEE SCHEDULE,,2.9,,,,FEE SCHEDULE,,3.58,,,,FEE SCHEDULE,,,85,,12.75,PERCENTAGE OF TOTAL BILLED CHARGES,,2.9,7.5,
PH FECES (AEL),83986,CPT,,,,BOTH,,,9,4.5,3.58,,,,FEE SCHEDULE,,3.22,,,,FEE SCHEDULE,,2.9,,,,FEE SCHEDULE,,3.58,,,,FEE SCHEDULE,,,85,,7.65,PERCENTAGE OF TOTAL BILLED CHARGES,,2.9,4.5,
